title,content,status,posttype,thumbnail,proposedtype,sources,coords,proposeddate,,,,
TSB (Tretheway / Shovel / Big Silver) Hydroelectric Project,Proposed 82.8 mw hydropower project over 4 creeks. ,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.6916822331|-121.925484575,,,,,
Tulsequah Chief Mine (Phase 2),"2,000 tpd copper/gold/silver/lead underground mine.",Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,58.698|-133.58,,,,,
Upper Klinaklini Hydroelectric Project and Wind electric project,"water power project, 7 sites",Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,51.843838|-125.316238,,,,,
Upper Lillooet,Proposed 121 mw hydropower project over 3 creeks.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.5777244346|-123.192388958,,,,,
Upper Toba / Jimmie / Dalgleish,Proposed 105 mw Hydro power project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.6991736077|-123.979677553,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,52.819376|-119.444909,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,48.424245|-123.372774,,,,,
Volcano Creek,16 mw hydro project on volcano Creek.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,56.734|-130.5589,,,,,
Wahleach Creek,15 mw Hydro power project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.2861111|-121.616667,,,,,
Wapiti River Coal,Underground coal mine near Mt.Duke,Published,proposed-project,,Mine,BC Government | http://www.for.gov.bc.ca/major_projects/,54.776632|-120.32178,,,,,
Watson Island LNG,a small LNG export terminal,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.235564|-130.294143,,,,,
WCC LNG Limited,Northwest coast export facility (Prince Rupert) - 30 million tonnes/year export.,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,54.354936|-130.251114,,,,,
Wedge Creek,4.5 mw Hydro power Project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.15630556|-122.902056,,,,,
Wedgemount,1.6 mw Hydroelectric project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.1755556|-122.861861,,,,,
WesPac,"WesPac Midstream Vancouver (WPMV) plans to export LNG via a marine terminal in the Fraser River, adjacent to the FortisBC Tilbury LNG Plant. The WesPac LNG marine terminal will provide a means of loading LNG onto carrier ships for export.",Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,49.1431|-123.0342,,,,,
West Kitsault River,5 mw hydro electric Project.,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,55.711448|-129.527087,,,,,
,,Published,proposed-project,,,BC Government | http://www.for.gov.bc.ca/major_projects/,50.085871|-122.928276,,,,,
Winchie Creek,4.1MW Run of River,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,49.1308|-125.4492,,,,,
Wolverine Wind Project,15 MW Wind Project 14km NW of Tumbler Ridge,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,55.173601003|-121.189116564,,,,,
Woodfibre LNG,Proposed LNG plant at Woodfibre,Published,proposed-project,,LNG,BC Government | http://engage.gov.bc.ca/lnginbc/lng-projects/,49.66897|-123.251735,,,,,
Zeballos Lake Hydro Ltd.,22.2 MW run of river project,Published,proposed-project,,Dam,BC Government | http://www.for.gov.bc.ca/major_projects/,50.0678|-126.7511,,,,,
Zonnebeke Wind Project,15 MW wind Project 16 km South of Chetwynd,Published,proposed-project,,Wind,BC Government | http://www.for.gov.bc.ca/major_projects/,55.555502|-121.557593,,,,,
